19,39,NaN, 4,Malaysia,NaN,Flawed democracy,9.58,7.86,6.67,6.25,5.59,7.19,NaN, 0.03
20,40,NaN, 6,Panama,NaN,Flawed democracy,9.58,6.43,7.22,5.00,7.65,7.18,NaN, 0.13
21,41,NaN, 2,NaN,Trinidad and Tobago,NaN,Flawed democracy,9.58,7.14,6.11,5.63,7.35,7.16,NaN
22,42,NaN, 8,Jamaica,NaN,Flawed democracy,8.75,7.14,5.00,6.25,8.53,7.13,NaN, 0.17
23,44,NaN, 3,Timor-Leste,NaN,Flawed democracy,9.58,5.93,5.56,6.88,7.35,7.06,NaN, 0.13
24,46,NaN, 1,Colombia,NaN,Flawed democracy,9.17,6.43,6.67,5.00,7.94,7.04,NaN, 0.09
25,47,NaN, 5,Slovakia,NaN,Flawed democracy,9.58,6.43,5.56,5.63,7.65,6.97,NaN, 0.20
26,49,NaN, 3,Brazil,NaN,Flawed democracy,9.58,5.36,6.11,5.63,7.94,6.92,NaN, 0.04
27,50,NaN, 7,Poland,NaN,Flawed democracy,9.17,5.71,6.67,5.63,7.06,6.85,NaN, 0.23
28,52,NaN, 5,Bulgaria,NaN,Flawed democracy,9.17,5.71,7.22,4.38,7.06,6.71,NaN, 0.32
29,53,NaN, 2,India,NaN,Flawed democracy,8.67,7.14,6.67,5.00,5.59,6.61,NaN, 0.29
30,54,NaN, 1,Tunisia,NaN,Flawed democracy,9.17,5.36,7.22,5.63,5.59,6.59,NaN, 0.13
31,55,NaN, 1,Philippines,NaN,Flawed democracy,9.17,5.00,7.78,4.38,6.47,6.56,NaN, 0.08
32,55,NaN,NaN,Hungary,NaN,Flawed democracy,8.33,6.43,5.00,6.25,6.76,6.56,NaN, 0.07
33,57,NaN, 1,Peru,NaN,Flawed democracy,8.75,5.36,5.56,5.63,7.35,6.53,NaN, 0.07
34,58,NaN, 7,Namibia,NaN,Flawed democracy,7.00,5.36,6.67,5.63,7.94,6.52,NaN, 0.09
35,59,NaN, 4,Ghana,NaN,Flawed democracy,8.33,5.36,6.67,6.25,5.88,6.50,NaN, 0.13
36,61,NaN, 1,Mongolia,NaN,Flawed democracy,8.75,5.71,5.56,5.63,6.76,6.48,NaN, 0.02
37,62,NaN, 1,Romania,NaN,Flawed democracy,9.17,5.36,6.67,3.75,7.06,6.40,NaN, 0.09
38,63,NaN, 3,Dominican Republic,NaN,Flawed democracy,9.17,4.29,6.11,5.00,7.06,6.32,NaN, 0.22
39,68,NaN, 1,Sri Lanka,NaN,Flawed democracy,7.00,5.71,5.56,6.25,6.18,6.14,NaN, 0.13
40,69,NaN, 2,Ecuador,NaN,Flawed democracy,8.75,5.00,6.67,3.75,6.47,6.13,NaN, 0.20
41,70,NaN, 4,Papua New Guinea,NaN,Flawed democracy,6.92,6.07,3.33,6.25,7.94,6.10,NaN, 0.07
42,71,NaN, 8,Albania,NaN,Flawed democracy,7.00,5.36,4.44,6.25,7.35,6.08,NaN, 0.19
43,72,NaN, 1,Mexico,NaN,Flawed democracy,7.83,5.71,7.78,3.13,5.88,6.07,NaN, 0.02
44,73,NaN, 5,Thailand,NaN,Flawed democracy,7.00,5.00,6.67,6.25,5.29,6.04,NaN, 0.28
45,76,NaN, 4,Bangladesh,NaN,Hybrid regime,7.42,6.07,6.11,5.63,4.71,5.99,NaN, 0.11
46,77,NaN, 6,El Salvador,NaN,Hybrid regime,9.17,4.29,6.11,3.75,6.18,5.90,NaN, 0.25
47,78,NaN, 1,North Macedonia,NaN,Hybrid regime,7.42,5.71,6.11,3.13,7.06,5.89,NaN, 0.08
48,79,NaN, 1,Ukraine,NaN,Hybrid regime,8.25,2.71,7.22,5.00,5.88,5.81,NaN, 0.09
49,80,NaN, 3,Moldova,NaN,Hybrid regime,7.00,4.64,6.11,4.38,6.76,5.78,NaN, 0.03
50,81,NaN, 3,Montenegro,NaN,Hybrid regime,7.42,5.71,6.11,3.13,6.47,5.77,NaN, 0.12
51,82,NaN, 5,Malawi,NaN,Hybrid regime,7.00,4.29,5.00,6.25,6.18,5.74,NaN, 0.24
52,83,NaN, 2,Fiji,NaN,Hybrid regime,6.58,5.00,6.11,5.63,5.29,5.72,NaN, 0.13
53,84,NaN, 7,Bhutan,NaN,Hybrid regime,8.75,6.79,3.33,5.00,4.71,5.71,NaN, 0.41
54,86,NaN, 4,Senegal,NaN,Hybrid regime,6.08,5.71,4.44,6.25,5.88,5.67,NaN, 0.18
55,87,NaN, 12,Hong Kong,NaN,Hybrid regime,3.17,3.64,5.00,7.50,8.53,5.57,NaN, 0.45
56,89,NaN, 3,Armenia,NaN,Hybrid regime,7.50,5.00,6.11,3.13,5.00,5.35,NaN, 0.19
57,90,NaN, 2,Liberia,NaN,Hybrid regime,7.42,2.71,5.56,5.63,5.29,5.32,NaN, 0.13
58,91,NaN, 2,Georgia,NaN,Hybrid regime,7.83,3.57,6.11,3.75,5.29,5.31,NaN, 0.11
59,93,NaN, 2,Tanzania,NaN,Hybrid regime,4.83,5.00,5.00,6.25,4.41,5.10,NaN, 0.06
60,94,NaN, 10,Bolivia,NaN,Hybrid regime,6.08,3.57,6.11,3.75,5.88,5.08,NaN, 0.24
61,95,NaN, 1,Kenya,NaN,Hybrid regime,3.50,5.36,6.67,5.63,4.12,5.05,NaN, 0.13
62,97,NaN, 4,Guatemala,NaN,Hybrid regime,6.92,3.93,5.00,3.13,5.88,4.97,NaN, 0.29
63,98,NaN, 1,Uganda,NaN,Hybrid regime,4.33,3.21,5.00,6.88,5.29,4.94,NaN, 0.08
64,99,NaN, 3,NaN,Sierra Leone,NaN,Hybrid regime,6.58,2.86,3.33,6.25,5.29,4.86,NaN
65,101,NaN, 1,Bosnia and Herzegovina,NaN,Hybrid regime,7.00,2.93,5.56,3.13,5.59,4.84,NaN, 0.02
66,102,NaN, 5,Benin,NaN,Hybrid regime,3.33,5.36,3.89,5.63,4.71,4.58,NaN, 0.51
67,103,NaN, 4,Gambia,NaN,Hybrid regime,4.00,4.29,4.44,5.63,4.12,4.49,NaN, 0.16
68,104,NaN, 6,Turkey,NaN,Hybrid regime,3.50,5.36,5.56,5.63,2.35,4.48,NaN, 0.39
69,105,NaN, 3,Pakistan,NaN,Hybrid regime,5.67,5.36,3.33,2.50,4.71,4.31,NaN, 0.06
70,106,NaN, 1,Haiti,NaN,Hybrid regime,4.75,1.71,2.78,6.25,5.59,4.22,NaN, 0.35
71,107,NaN, 6,Kyrgyzstan,NaN,Hybrid regime,4.75,2.93,5.56,3.13,4.71,4.21,NaN, 0.67
72,108,NaN, 2,Lebanon,NaN,Hybrid regime,3.50,1.50,6.67,5.00,4.12,4.16,NaN, 0.20
73,109,NaN, 2,Ivory Coast,NaN,Hybrid regime,4.33,2.86,3.89,5.63,3.82,4.11,NaN, 0.06
74,110,NaN, 1,Nigeria,NaN,Hybrid regime,5.17,3.57,3.89,3.75,4.12,4.10,NaN, 0.02
75,111,NaN, 11,Mali,NaN,Authoritarian,5.17,0.00,4.44,5.63,4.41,3.93,NaN, 0.99
76,113,NaN, 4,Palestine,NaN,Authoritarian,3.33,0.14,7.78,4.38,3.53,3.83,NaN, 0.06
77,114,NaN,NaN,Kuwait,NaN,Authoritarian,3.58,3.93,3.89,4.38,3.24,3.80,NaN, 0.13
78,115,NaN, 2,Algeria,NaN,Authoritarian,3.08,2.50,4.44,5.00,3.82,3.77,NaN, 0.24
79,116,NaN, 4,Burkina Faso,NaN,Authoritarian,3.00,2.36,4.44,5.00,3.82,3.73,NaN, 0.31
80,117,NaN, 2,Angola,NaN,Authoritarian,2.25,2.86,5.56,5.00,2.65,3.66,NaN, 0.06
81,118,NaN, 4,Jordan,NaN,Authoritarian,2.67,3.93,3.89,4.38,3.24,3.62,NaN, 0.31
82,122,NaN, 2,Mozambique,NaN,Authoritarian,2.58,1.43,5.00,5.00,3.53,3.51,NaN, 0.14
83,123,NaN, 2,Ethiopia,NaN,Authoritarian,0.42,3.57,5.56,5.00,2.35,3.38,NaN, 0.06
84,126,NaN, 2,Qatar,NaN,Authoritarian,0.00,4.29,2.78,5.63,3.53,3.24,NaN, 0.05
85,127,NaN, 2,NaN,Zimbabwe,NaN,Authoritarian,0.00,2.50,4.44,5.63,3.24,3.16,NaN
86,128,NaN, 11,Kazakhstan,NaN,Authoritarian,0.50,3.21,5.00,3.75,3.24,3.14,NaN, 0.20
87,130,NaN, 6,Cambodia,NaN,Authoritarian,0.00,3.93,3.89,5.63,2.06,3.10,NaN, 0.43
88,130,NaN, 1,Rwanda,NaN,Authoritarian,1.42,4.29,2.78,4.38,2.65,3.10,NaN, 0.06
89,132,NaN, 1,Comoros,NaN,Authoritarian,2.08,2.21,3.89,3.75,3.53,3.09,NaN, 0.06
90,133,NaN, 1,Eswatini,NaN,Authoritarian,0.92,2.86,2.78,5.63,3.24,3.08,NaN, 0.06
91,135,NaN, 13,Myanmar,NaN,Authoritarian,1.75,3.93,2.78,4.38,2.35,3.04,NaN, 0.51
92,137,NaN, 1,Vietnam,NaN,Authoritarian,0.00,2.86,3.89,5.63,2.35,2.94,NaN, 0.14
93,138,NaN, 1,Egypt,NaN,Authoritarian,1.33,3.21,3.33,5.00,1.76,2.93,NaN, 0.13
94,141,NaN, 15,Togo,NaN,Authoritarian,3.17,1.79,3.33,5.00,3.24,2.80,NaN, 0.50
95,143,NaN, 3,Venezuela,NaN,Authoritarian,0.00,1.79,5.00,4.38,2.65,2.76,NaN, 0.04
96,148,NaN, 2,Belarus,NaN,Authoritarian,0.00,2.00,3.89,5.00,2.06,2.59,NaN, 0.11
97,149,NaN, 2,Sudan,NaN,Authoritarian,0.00,1.79,4.44,5.00,1.47,2.54,NaN, 0.16
98,150,NaN, 1,Bahrain,NaN,Authoritarian,0.83,2.71,2.78,4.38,1.76,2.49,NaN, 0.06
99,151,NaN, 2,China,NaN,Authoritarian,0.00,4.29,2.78,3.13,1.18,2.27,NaN, 0.01
100,152,NaN, 1,Iran,NaN,Authoritarian,0.00,2.50,3.89,3.13,1.47,2.20,NaN, 0.18
101,153,NaN, 1,Eritrea,NaN,Authoritarian,0.00,2.14,0.56,6.88,1.18,2.15,NaN, 0.22
102,155,NaN, 2,Uzbekistan,NaN,Authoritarian,0.08,1.86,2.78,5.00,0.88,2.12,NaN, 0.11
103,156,NaN, 3,Saudi Arabia,NaN,Authoritarian,0.00,3.57,2.22,3.13,1.47,2.08,NaN, 0.15
104,157,NaN, 1,Libya,NaN,Authoritarian,0.00,0.00,3.33,3.75,2.65,1.95,NaN, 0.07
105,159,NaN,NaN,Tajikistan,NaN,Authoritarian,0.00,2.21,2.22,4.38,0.88,1.94,NaN, 0.01
106,161,NaN, 6,Laos,NaN,Authoritarian,0.00,2.86,1.67,3.75,0.59,1.77,NaN, 0.37
