,Rank,Δ Rank,Country,Regime type,Electoral process and pluralism,Functioning of government,Political participation,Political culture,Civil liberties,Overall score,Δ Score
54,54, 1,Tunisia,Flawed democracy,9.17,5.36,7.22,5.63,5.59,6.59, 0.13
55,55, 1,Philippines,Flawed democracy,9.17,5.00,7.78,4.38,6.47,6.56, 0.08
56,55,NaN,Hungary,Flawed democracy,8.33,6.43,5.00,6.25,6.76,6.56, 0.07
57,57, 1,Peru,Flawed democracy,8.75,5.36,5.56,5.63,7.35,6.53, 0.07
58,58, 7,Namibia,Flawed democracy,7.00,5.36,6.67,5.63,7.94,6.52, 0.09
59,59,NaN,Croatia,Flawed democracy,9.17,6.07,6.11,4.38,6.76,6.50, 0.07
60,59, 4,Ghana,Flawed democracy,8.33,5.36,6.67,6.25,5.88,6.50, 0.13
61,61, 1,Mongolia,Flawed democracy,8.75,5.71,5.56,5.63,6.76,6.48, 0.02
62,62, 1,Romania,Flawed democracy,9.17,5.36,6.67,3.75,7.06,6.40, 0.09
63,63, 3,Dominican Republic,Flawed democracy,9.17,4.29,6.11,5.00,7.06,6.32, 0.22
64,64, 4,Lesotho,Flawed democracy,9.17,4.14,6.11,5.63,6.47,6.30, 0.24
65,64,NaN,Indonesia,Flawed democracy,7.92,7.50,6.11,4.38,5.59,6.30, 0.18
66,66,NaN,Serbia,Flawed democracy,8.25,5.36,6.67,3.75,7.06,6.22, 0.19
67,67, 3,Paraguay,Flawed democracy,8.75,5.71,5.00,4.38,7.06,6.18, 0.06
68,68, 1,Sri Lanka,Flawed democracy,7.00,5.71,5.56,6.25,6.18,6.14, 0.13
69,69, 2,Ecuador,Flawed democracy,8.75,5.00,6.67,3.75,6.47,6.13, 0.20
70,70, 4,Papua New Guinea,Flawed democracy,6.92,6.07,3.33,6.25,7.94,6.10, 0.07
71,71, 8,Albania,Flawed democracy,7.00,5.36,4.44,6.25,7.35,6.08, 0.19
72,72, 1,Mexico,Flawed democracy,7.83,5.71,7.78,3.13,5.88,6.07, 0.02
73,73, 5,Thailand,Flawed democracy,7.00,5.00,6.67,6.25,5.29,6.04, 0.28
74,74, 1,Singapore,Flawed democracy,4.83,7.86,4.44,6.25,6.76,6.03, 0.01
75,75, 4,Guyana,Flawed democracy,6.50,5.36,6.11,5.00,7.06,6.01, 0.14
76,76, 4,Bangladesh,Hybrid regime,7.42,6.07,6.11,5.63,4.71,5.99, 0.11
77,77, 6,El Salvador,Hybrid regime,9.17,4.29,6.11,3.75,6.18,5.90, 0.25
78,78, 1,North Macedonia,Hybrid regime,7.42,5.71,6.11,3.13,7.06,5.89, 0.08
79,79, 1,Ukraine,Hybrid regime,8.25,2.71,7.22,5.00,5.88,5.81, 0.09
80,80, 3,Moldova,Hybrid regime,7.00,4.64,6.11,4.38,6.76,5.78, 0.03
81,81, 3,Montenegro,Hybrid regime,7.42,5.71,6.11,3.13,6.47,5.77, 0.12
82,82, 5,Malawi,Hybrid regime,7.00,4.29,5.00,6.25,6.18,5.74, 0.24
83,83, 2,Fiji,Hybrid regime,6.58,5.00,6.11,5.63,5.29,5.72, 0.13
84,84, 7,Bhutan,Hybrid regime,8.75,6.79,3.33,5.00,4.71,5.71, 0.41
85,85,NaN,Madagascar,Hybrid regime,7.92,3.57,6.67,5.63,4.71,5.70, 0.06
86,86, 4,Senegal,Hybrid regime,6.08,5.71,4.44,6.25,5.88,5.67, 0.18
87,87, 12,Hong Kong,Hybrid regime,3.17,3.64,5.00,7.50,8.53,5.57, 0.45
88,88, 1,Honduras,Hybrid regime,7.83,4.29,4.44,4.38,5.88,5.36, 0.06
89,89, 3,Armenia,Hybrid regime,7.50,5.00,6.11,3.13,5.00,5.35, 0.19
90,90, 2,Liberia,Hybrid regime,7.42,2.71,5.56,5.63,5.29,5.32, 0.13
91,91, 2,Georgia,Hybrid regime,7.83,3.57,6.11,3.75,5.29,5.31, 0.11
92,92,NaN,Nepal,Hybrid regime,4.83,5.36,5.00,5.63,5.29,5.22, 0.06
93,93, 2,Tanzania,Hybrid regime,4.83,5.00,5.00,6.25,4.41,5.10, 0.06
94,94, 10,Bolivia,Hybrid regime,6.08,3.57,6.11,3.75,5.88,5.08, 0.24
95,95, 1,Kenya,Hybrid regime,3.50,5.36,6.67,5.63,4.12,5.05, 0.13
96,96,NaN,Morocco,Hybrid regime,5.25,4.64,5.56,5.63,4.12,5.04, 0.06
97,97, 4,Guatemala,Hybrid regime,6.92,3.93,5.00,3.13,5.88,4.97, 0.29
98,98, 1,Uganda,Hybrid regime,4.33,3.21,5.00,6.88,5.29,4.94, 0.08
99,99, 2,Zambia,Hybrid regime,4.75,2.93,3.89,6.88,5.88,4.86, 0.23
100,99, 3,Sierra Leone,Hybrid regime,6.58,2.86,3.33,6.25,5.29,4.86,NaN
101,101, 1,Bosnia and Herzegovina,Hybrid regime,7.00,2.93,5.56,3.13,5.59,4.84, 0.02
102,102, 5,Benin,Hybrid regime,3.33,5.36,3.89,5.63,4.71,4.58, 0.51
103,103, 4,Gambia,Hybrid regime,4.00,4.29,4.44,5.63,4.12,4.49, 0.16
104,104, 6,Turkey,Hybrid regime,3.50,5.36,5.56,5.63,2.35,4.48, 0.39
105,105, 3,Pakistan,Hybrid regime,5.67,5.36,3.33,2.50,4.71,4.31, 0.06
106,106, 1,Haiti,Hybrid regime,4.75,1.71,2.78,6.25,5.59,4.22, 0.35
107,107, 6,Kyrgyzstan,Hybrid regime,4.75,2.93,5.56,3.13,4.71,4.21, 0.67
108,108, 2,Lebanon,Hybrid regime,3.50,1.50,6.67,5.00,4.12,4.16, 0.20
109,109, 2,Ivory Coast,Hybrid regime,4.33,2.86,3.89,5.63,3.82,4.11, 0.06
110,110, 1,Nigeria,Hybrid regime,5.17,3.57,3.89,3.75,4.12,4.10, 0.02
111,111, 11,Mali,Authoritarian,5.17,0.00,4.44,5.63,4.41,3.93, 0.99
112,112, 4,Mauritania,Authoritarian,3.50,3.57,5.00,3.13,4.41,3.92,NaN
113,113, 4,Palestine,Authoritarian,3.33,0.14,7.78,4.38,3.53,3.83, 0.06
114,114,NaN,Kuwait,Authoritarian,3.58,3.93,3.89,4.38,3.24,3.80, 0.13
115,115, 2,Algeria,Authoritarian,3.08,2.50,4.44,5.00,3.82,3.77, 0.24
116,116, 4,Burkina Faso,Authoritarian,3.00,2.36,4.44,5.00,3.82,3.73, 0.31
117,117, 2,Angola,Authoritarian,2.25,2.86,5.56,5.00,2.65,3.66, 0.06
118,118,NaN,Iraq,Authoritarian,5.25,0.00,6.67,5.00,1.18,3.62, 0.12
119,118, 4,Jordan,Authoritarian,2.67,3.93,3.89,4.38,3.24,3.62, 0.31
120,120, 2,Nicaragua,Authoritarian,0.42,2.86,5.00,5.63,4.12,3.60, 0.05
121,121,NaN,Gabon,Authoritarian,2.58,1.86,4.44,5.00,3.82,3.54, 0.07
122,122, 2,Mozambique,Authoritarian,2.58,1.43,5.00,5.00,3.53,3.51, 0.14
123,123, 2,Ethiopia,Authoritarian,0.42,3.57,5.56,5.00,2.35,3.38, 0.06
124,124, 10,Russia,Authoritarian,2.17,2.14,5.00,3.13,4.12,3.31, 0.20
125,125, 2,Niger,Authoritarian,2.92,1.14,3.33,4.38,4.71,3.29,NaN
126,126, 2,Qatar,Authoritarian,0.00,4.29,2.78,5.63,3.53,3.24, 0.05
127,127, 2,Zimbabwe,Authoritarian,0.00,2.50,4.44,5.63,3.24,3.16,NaN
128,128, 11,Kazakhstan,Authoritarian,0.50,3.21,5.00,3.75,3.24,3.14, 0.20
129,129, 5,Republic of the Congo,Authoritarian,2.17,2.50,3.89,3.75,3.24,3.11,NaN
130,130, 6,Cambodia,Authoritarian,0.00,3.93,3.89,5.63,2.06,3.10, 0.43
131,130, 1,Rwanda,Authoritarian,1.42,4.29,2.78,4.38,2.65,3.10, 0.06
132,132, 1,Comoros,Authoritarian,2.08,2.21,3.89,3.75,3.53,3.09, 0.06
133,133, 1,Eswatini,Authoritarian,0.92,2.86,2.78,5.63,3.24,3.08, 0.06
134,133, 4,Guinea,Authoritarian,3.50,0.43,4.44,4.38,2.65,3.08, 0.06
135,135, 13,Myanmar,Authoritarian,1.75,3.93,2.78,4.38,2.35,3.04, 0.51
136,136, 1,Oman,Authoritarian,0.08,3.93,2.78,4.38,3.82,3.00, 0.06
137,137, 1,Vietnam,Authoritarian,0.00,2.86,3.89,5.63,2.35,2.94, 0.14
138,138, 1,Egypt,Authoritarian,1.33,3.21,3.33,5.00,1.76,2.93, 0.13
139,139, 2,Afghanistan,Authoritarian,3.42,0.64,3.89,2.50,3.82,2.85,NaN
140,140, 3,Cuba,Authoritarian,0.00,3.57,3.33,4.38,2.94,2.84,NaN
141,141, 15,Togo,Authoritarian,3.17,1.79,3.33,5.00,3.24,2.80, 0.50
142,142, 1,Cameroon,Authoritarian,1.67,2.14,3.33,4.38,2.35,2.77, 0.08
143,143, 3,Venezuela,Authoritarian,0.00,1.79,5.00,4.38,2.65,2.76, 0.04
144,144,NaN,Djibouti,Authoritarian,0.42,1.29,3.89,5.63,2.35,2.71, 0.06
145,145,NaN,United Arab Emirates,Authoritarian,0.00,3.93,2.22,5.00,2.65,2.70, 0.06
146,146,NaN,Azerbaijan,Authoritarian,0.50,2.86,3.33,3.75,2.94,2.68, 0.07
147,147, 1,Guinea-Bissau,Authoritarian,4.92,0.00,2.78,3.13,2.35,2.63,NaN
148,148, 2,Belarus,Authoritarian,0.00,2.00,3.89,5.00,2.06,2.59, 0.11
149,149, 2,Sudan,Authoritarian,0.00,1.79,4.44,5.00,1.47,2.54, 0.16
150,150, 1,Bahrain,Authoritarian,0.83,2.71,2.78,4.38,1.76,2.49, 0.06
151,151, 2,China,Authoritarian,0.00,4.29,2.78,3.13,1.18,2.27, 0.01
152,152, 1,Iran,Authoritarian,0.00,2.50,3.89,3.13,1.47,2.20, 0.18
153,153, 1,Eritrea,Authoritarian,0.00,2.14,0.56,6.88,1.18,2.15, 0.22
154,154,NaN,Burundi,Authoritarian,0.00,0.00,3.33,5.00,2.35,2.14, 0.01
155,155, 2,Uzbekistan,Authoritarian,0.08,1.86,2.78,5.00,0.88,2.12, 0.11
156,156, 3,Saudi Arabia,Authoritarian,0.00,3.57,2.22,3.13,1.47,2.08, 0.15
157,157, 1,Libya,Authoritarian,0.00,0.00,3.33,3.75,2.65,1.95, 0.07
158,157,NaN,Yemen,Authoritarian,0.00,0.00,3.89,5.00,0.88,1.95,NaN
159,159,NaN,Tajikistan,Authoritarian,0.00,2.21,2.22,4.38,0.88,1.94, 0.01
160,160, 1,Equatorial Guinea,Authoritarian,0.00,0.43,3.33,4.38,1.47,1.92,NaN
161,161, 6,Laos,Authoritarian,0.00,2.86,1.67,3.75,0.59,1.77, 0.37
162,162,NaN,Turkmenistan,Authoritarian,0.00,0.79,2.22,5.00,0.59,1.72,NaN
163,163,NaN,Chad,Authoritarian,0.00,0.00,1.67,3.75,2.35,1.55, 0.06
164,164,NaN,Syria,Authoritarian,0.00,0.00,2.78,4.38,0.00,1.43,NaN
165,165,NaN,Central African Republic,Authoritarian,1.25,0.00,1.11,1.88,2.35,1.32,NaN
166,166,NaN,Democratic Republic of the Congo,Authoritarian,0.00,0.00,1.67,3.13,0.88,1.13,NaN
167,167,NaN,North Korea,Authoritarian,0.00,2.50,1.67,1.25,0.00,1.08,NaN
